question_id,grade_level,question,choice_1,choice_2,correct_answer,correct_choice,user_choice,is_correct,response_time
68,Grade 3,43 + 123 =,168,166,166,choice_2,choice_2,True,9.95
69,Grade 3,3 * 12 =,37,36,36,choice_2,choice_1,False,9.39
70,Grade 5,103 + 148 =,251,254,251,choice_1,choice_1,True,6.39
71,Grade 5,57 + 124 =,181,184,181,choice_1,choice_1,True,9.83
72,Grade 4,16 * 9 =,144,145,144,choice_1,choice_1,True,6.28
73,Grade 5,16 * 11 =,178,176,176,choice_2,choice_1,False,8.41
74,Grade 3,13 * 3 =,38,39,39,choice_2,choice_2,True,7.08
75,Grade 1,18 + 11 =,29,32,29,choice_1,choice_1,True,9.02
76,Grade 3,40 - 14 =,24,26,26,choice_2,choice_2,True,9.19
77,Grade 2,20 - 9 =,14,11,11,choice_2,choice_1,False,3.59
78,Grade 3,95 + 34 =,132,129,129,choice_2,choice_1,False,7.69
79,Grade 4,135 + 68 =,203,201,203,choice_1,choice_1,True,9.49
80,Grade 5,34 - 16 =,18,21,18,choice_1,choice_2,False,8.32
81,Grade 4,37 + 38 =,74,75,75,choice_2,choice_2,True,4.43
82,Grade 2,17 + 2 =,18,19,19,choice_2,choice_1,False,8.6
83,Grade 4,80 - 74 =,9,6,6,choice_2,choice_1,False,4.4
84,Grade 5,36 - 15 =,19,21,21,choice_2,choice_1,False,5.4
85,Grade 2,13 + 4 =,17,15,17,choice_1,choice_1,True,6.67
86,Grade 1,13 - 8 =,7,5,5,choice_2,choice_2,True,4.36
87,Grade 2,1 + 6 =,8,7,7,choice_2,choice_1,False,8.27
88,Grade 3,23 + 106 =,131,129,129,choice_2,choice_1,False,9.61
89,Grade 2,4 + 15 =,19,20,19,choice_1,choice_1,True,6.33
90,Grade 5,51 + 31 =,82,83,82,choice_1,choice_2,False,7.25
91,Grade 3,142 + 89 =,234,231,231,choice_2,choice_2,True,9.63
92,Grade 2,4 - 3 =,4,1,1,choice_2,choice_1,False,8.71
93,Grade 1,9 + 6 =,18,15,15,choice_2,choice_2,True,5.93
94,Grade 1,13 + 3 =,17,16,16,choice_2,choice_1,False,9.1
95,Grade 2,19 - 11 =,7,8,8,choice_2,choice_1,False,3.69
96,Grade 3,65 - 23 =,42,40,42,choice_1,choice_1,True,8.26
97,Grade 5,60 - 26 =,36,34,34,choice_2,choice_2,True,6.84
98,Grade 3,33 - 25 =,8,10,8,choice_1,choice_2,False,4.38
99,Grade 4,12 * 4 =,47,48,48,choice_2,choice_2,True,5.78
100,Grade 4,84 - 74 =,10,9,10,choice_1,choice_1,True,3.16
101,Grade 2,19 - 15 =,4,6,4,choice_1,choice_2,False,9.76
102,Grade 4,11 * 5 =,55,54,55,choice_1,choice_1,True,6.83
103,Grade 4,33 + 77 =,110,108,110,choice_1,choice_2,False,7.91
104,Grade 1,15 + 7 =,25,22,22,choice_2,choice_2,True,6.16
105,Grade 2,8 - 1 =,7,8,7,choice_1,choice_2,False,7.58
106,Grade 5,75 - 24 =,51,53,51,choice_1,choice_1,True,3.78
107,Grade 4,95 - 19 =,79,76,76,choice_2,choice_1,False,4.7
108,Grade 3,85 + 104 =,189,190,189,choice_1,choice_2,False,5.78
109,Grade 5,140 + 67 =,207,208,207,choice_1,choice_2,False,3.61
110,Grade 3,103 + 93 =,198,196,196,choice_2,choice_1,False,9.55
111,Grade 3,2 * 3 =,8,6,6,choice_2,choice_1,False,6.08
112,Grade 4,77 - 64 =,13,11,13,choice_1,choice_2,False,6.96
113,Grade 4,12 * 6 =,72,71,72,choice_1,choice_2,False,9.33
114,Grade 1,6 + 7 =,13,12,13,choice_1,choice_2,False,3.63
115,Grade 3,120 + 81 =,201,202,201,choice_1,choice_1,True,5.63
116,Grade 2,15 + 6 =,21,23,21,choice_1,choice_2,False,6.81
117,Grade 5,128 + 119 =,249,247,247,choice_2,choice_2,True,5.65
118,Grade 1,5 - 2 =,3,1,3,choice_1,choice_1,True,7.89
119,Grade 3,81 - 57 =,22,24,24,choice_2,choice_2,True,7.39
120,Grade 4,36 + 69 =,105,106,105,choice_1,choice_2,False,4.45
121,Grade 3,16 * 9 =,144,146,144,choice_1,choice_1,True,9.72
122,Grade 5,59 - 43 =,16,18,16,choice_1,choice_1,True,3.21
123,Grade 5,79 - 37 =,43,42,42,choice_2,choice_1,False,6.04
124,Grade 1,10 - 5 =,5,6,5,choice_1,choice_1,True,3.29
125,Grade 4,100 + 33 =,133,131,133,choice_1,choice_1,True,7.4
126,Grade 1,5 + 18 =,25,23,23,choice_2,choice_1,False,6.37
127,Grade 3,106 + 44 =,150,149,150,choice_1,choice_1,True,3.05
128,Grade 1,10 - 2 =,8,9,8,choice_1,choice_1,True,6.46
129,Grade 2,19 - 12 =,7,10,7,choice_1,choice_1,True,5.1
130,Grade 1,18 - 5 =,13,12,13,choice_1,choice_2,False,4.67
131,Grade 1,8 + 5 =,13,11,13,choice_1,choice_1,True,5.8
132,Grade 2,13 + 9 =,22,21,22,choice_1,choice_1,True,5.64
133,Grade 1,7 + 5 =,12,13,12,choice_1,choice_2,False,9.45
134,Grade 1,3 + 8 =,11,12,11,choice_1,choice_2,False,8.27
135,Grade 1,15 - 14 =,3,1,1,choice_2,choice_1,False,5.1
136,Grade 3,26 + 27 =,53,52,53,choice_1,choice_1,True,6.8
137,Grade 2,14 - 1 =,12,13,13,choice_2,choice_1,False,8.04
138,Grade 5,17 * 10 =,170,172,170,choice_1,choice_2,False,5.13
139,Grade 4,133 + 113 =,246,247,246,choice_1,choice_2,False,7.76
140,Grade 2,20 + 16 =,36,35,36,choice_1,choice_2,False,9.97
141,Grade 2,18 + 6 =,24,22,24,choice_1,choice_1,True,5.44
142,Grade 5,2 * 11 =,22,21,22,choice_1,choice_1,True,5.97
143,Grade 1,5 + 6 =,12,11,11,choice_2,choice_1,False,9.28
144,Grade 2,5 + 9 =,15,14,14,choice_2,choice_2,True,6.73
145,Grade 5,18 * 11 =,198,197,198,choice_1,choice_2,False,5.07
146,Grade 5,49 + 76 =,125,127,125,choice_1,choice_2,False,3.5
147,Grade 3,145 + 53 =,199,198,198,choice_2,choice_1,False,6.75
148,Grade 3,129 + 46 =,178,175,175,choice_2,choice_2,True,4.34
149,Grade 1,16 - 9 =,7,8,7,choice_1,choice_2,False,6.35
150,Grade 5,38 + 49 =,87,90,87,choice_1,choice_1,True,9.8
151,Grade 5,12 * 12 =,145,144,144,choice_2,choice_1,False,6.5
152,Grade 2,10 - 5 =,5,6,5,choice_1,choice_1,True,8.41
153,Grade 5,42 - 26 =,16,18,16,choice_1,choice_2,False,7.81
154,Grade 2,3 + 4 =,10,7,7,choice_2,choice_1,False,6.31
155,Grade 1,9 - 3 =,6,8,6,choice_1,choice_1,True,4.79
156,Grade 2,10 - 6 =,7,4,4,choice_2,choice_2,True,3.53
157,Grade 5,13 * 3 =,41,39,39,choice_2,choice_2,True,5.34
158,Grade 4,3 * 6 =,18,20,18,choice_1,choice_1,True,5.02
159,Grade 5,10 * 6 =,60,62,60,choice_1,choice_2,False,9.99
160,Grade 4,11 * 7 =,75,77,77,choice_2,choice_1,False,4.32
161,Grade 3,54 - 20 =,34,35,34,choice_1,choice_1,True,7.0
162,Grade 4,66 - 30 =,36,34,36,choice_1,choice_1,True,5.7
163,Grade 5,93 + 46 =,139,138,139,choice_1,choice_2,False,7.2
164,Grade 5,83 - 33 =,48,50,50,choice_2,choice_1,False,3.32
165,Grade 1,6 + 5 =,11,9,11,choice_1,choice_1,True,6.24
166,Grade 3,16 * 9 =,146,144,144,choice_2,choice_1,False,7.87
167,Grade 1,9 + 3 =,12,10,12,choice_1,choice_2,False,7.33
168,Grade 2,19 + 5 =,24,25,24,choice_1,choice_2,False,8.09
169,Grade 4,2 * 5 =,11,10,10,choice_2,choice_2,True,7.32
170,Grade 2,1 + 10 =,11,14,11,choice_1,choice_2,False,7.29
171,Grade 5,7 * 8 =,56,58,56,choice_1,choice_2,False,8.48
172,Grade 2,17 + 9 =,26,29,26,choice_1,choice_2,False,5.16
173,Grade 5,73 + 140 =,211,213,213,choice_2,choice_2,True,5.1
174,Grade 1,1 + 14 =,15,17,15,choice_1,choice_1,True,5.65
175,Grade 4,104 + 120 =,224,225,224,choice_1,choice_2,False,7.67
176,Grade 1,10 - 9 =,2,1,1,choice_2,choice_1,False,3.02
177,Grade 1,18 - 2 =,15,16,16,choice_2,choice_1,False,4.84
178,Grade 4,12 * 2 =,22,24,24,choice_2,choice_2,True,4.12
179,Grade 1,16 + 19 =,34,35,35,choice_2,choice_1,False,6.04
180,Grade 3,33 - 14 =,22,19,19,choice_2,choice_2,True,7.66
181,Grade 5,32 - 26 =,8,6,6,choice_2,choice_2,True,5.52
182,Grade 2,10 - 10 =,0,3,0,choice_1,choice_2,False,5.85
183,Grade 3,17 * 10 =,171,170,170,choice_2,choice_2,True,6.6
184,Grade 3,6 * 3 =,18,16,18,choice_1,choice_2,False,8.73
185,Grade 4,92 - 63 =,29,28,29,choice_1,choice_2,False,3.91
186,Grade 2,20 - 6 =,14,12,14,choice_1,choice_1,True,8.58
187,Grade 4,8 * 12 =,95,96,96,choice_2,choice_2,True,7.81
188,Grade 4,15 * 4 =,60,61,60,choice_1,choice_1,True,6.44
189,Grade 1,3 - 2 =,-1,1,1,choice_2,choice_2,True,6.49
190,Grade 2,13 + 2 =,17,15,15,choice_2,choice_1,False,7.42
191,Grade 4,132 + 106 =,238,240,238,choice_1,choice_2,False,8.69
192,Grade 2,8 + 3 =,12,11,11,choice_2,choice_2,True,3.17
193,Grade 3,75 + 135 =,210,212,210,choice_1,choice_2,False,3.48
194,Grade 3,140 + 32 =,170,172,172,choice_2,choice_1,False,8.47
195,Grade 4,10 * 2 =,20,23,20,choice_1,choice_1,True,9.25
196,Grade 1,20 + 3 =,23,24,23,choice_1,choice_2,False,8.13
197,Grade 1,2 + 17 =,19,21,19,choice_1,choice_1,True,3.55
198,Grade 4,51 - 37 =,14,16,14,choice_1,choice_1,True,7.29
199,Grade 5,57 - 35 =,22,23,22,choice_1,choice_1,True,6.09
200,Grade 5,5 * 11 =,57,55,55,choice_2,choice_1,False,5.95
201,Grade 4,37 - 12 =,23,25,25,choice_2,choice_2,True,9.58
202,Grade 5,57 + 142 =,199,197,199,choice_1,choice_2,False,6.98
203,Grade 5,21 - 12 =,9,10,9,choice_1,choice_1,True,8.04
204,Grade 5,26 - 26 =,2,0,0,choice_2,choice_2,True,7.34
205,Grade 5,17 * 8 =,139,136,136,choice_2,choice_1,False,8.33
206,Grade 1,15 + 13 =,26,28,28,choice_2,choice_1,False,5.59
207,Grade 3,71 - 40 =,31,33,31,choice_1,choice_2,False,6.17
208,Grade 2,6 - 4 =,2,4,2,choice_1,choice_2,False,7.95
209,Grade 3,4 * 2 =,8,11,8,choice_1,choice_2,False,7.13
210,Grade 2,1 + 18 =,19,21,19,choice_1,choice_1,True,6.53
211,Grade 2,19 - 2 =,17,15,17,choice_1,choice_2,False,6.66
212,Grade 2,17 - 6 =,11,12,11,choice_1,choice_1,True,3.44
213,Grade 1,20 - 3 =,17,18,17,choice_1,choice_1,True,9.26
214,Grade 3,59 + 80 =,139,142,139,choice_1,choice_2,False,6.94
215,Grade 2,11 + 14 =,24,25,25,choice_2,choice_1,False,4.05
216,Grade 2,9 - 4 =,8,5,5,choice_2,choice_1,False,7.85
217,Grade 5,39 + 25 =,67,64,64,choice_2,choice_2,True,9.03
218,Grade 1,4 - 2 =,2,0,2,choice_1,choice_1,True,9.04
219,Grade 1,5 + 18 =,26,23,23,choice_2,choice_2,True,7.34
220,Grade 1,10 + 8 =,21,18,18,choice_2,choice_2,True,3.19
221,Grade 5,23 - 10 =,15,13,13,choice_2,choice_1,False,3.98
222,Grade 2,17 + 3 =,18,20,20,choice_2,choice_1,False,6.84
223,Grade 1,11 + 17 =,28,27,28,choice_1,choice_1,True,6.9
224,Grade 2,17 + 14 =,29,31,31,choice_2,choice_1,False,9.27
225,Grade 4,7 * 8 =,56,58,56,choice_1,choice_1,True,6.98
226,Grade 3,16 * 7 =,110,112,112,choice_2,choice_1,False,8.3
227,Grade 1,11 - 1 =,9,10,10,choice_2,choice_2,True,8.05
228,Grade 3,9 * 11 =,99,97,99,choice_1,choice_2,False,8.69
229,Grade 5,23 - 18 =,5,7,5,choice_1,choice_2,False,6.74
230,Grade 5,22 - 22 =,-2,0,0,choice_2,choice_2,True,9.14
231,Grade 2,7 + 5 =,12,14,12,choice_1,choice_2,False,3.45
232,Grade 2,20 - 10 =,10,9,10,choice_1,choice_2,False,4.49
233,Grade 2,17 - 11 =,4,6,6,choice_2,choice_2,True,8.63
234,Grade 1,14 - 4 =,9,10,10,choice_2,choice_2,True,7.41
235,Grade 5,121 + 149 =,270,273,270,choice_1,choice_2,False,3.82
236,Grade 3,14 * 12 =,170,168,168,choice_2,choice_1,False,8.1
237,Grade 1,11 + 19 =,30,31,30,choice_1,choice_1,True,8.4
238,Grade 2,19 - 7 =,15,12,12,choice_2,choice_2,True,5.67
239,Grade 1,10 + 7 =,17,20,17,choice_1,choice_1,True,9.8
240,Grade 5,77 + 109 =,188,186,186,choice_2,choice_2,True,8.57
241,Grade 3,68 - 51 =,17,16,17,choice_1,choice_2,False,7.46
242,Grade 5,57 + 73 =,130,131,130,choice_1,choice_2,False,8.68
243,Grade 4,30 - 23 =,7,8,7,choice_1,choice_2,False,9.52
244,Grade 5,7 * 3 =,23,21,21,choice_2,choice_2,True,4.32
245,Grade 1,12 - 10 =,2,0,2,choice_1,choice_1,True,7.12
246,Grade 2,10 + 9 =,18,19,19,choice_2,choice_2,True,9.48
247,Grade 4,6 * 11 =,67,66,66,choice_2,choice_1,False,9.04
248,Grade 2,17 - 3 =,16,14,14,choice_2,choice_2,True,5.56
249,Grade 1,19 + 8 =,25,27,27,choice_2,choice_2,True,4.97
250,Grade 5,50 - 12 =,39,38,38,choice_2,choice_1,False,8.68
251,Grade 4,20 * 12 =,240,243,240,choice_1,choice_1,True,3.31
252,Grade 5,80 - 14 =,66,65,66,choice_1,choice_1,True,3.74
253,Grade 2,16 - 5 =,11,10,11,choice_1,choice_1,True,9.78
254,Grade 5,19 * 7 =,133,136,133,choice_1,choice_2,False,8.79
255,Grade 3,97 + 102 =,199,202,199,choice_1,choice_2,False,7.12
256,Grade 3,68 + 133 =,201,203,201,choice_1,choice_1,True,9.61
257,Grade 2,19 + 5 =,24,23,24,choice_1,choice_2,False,5.31
258,Grade 2,17 - 15 =,3,2,2,choice_2,choice_2,True,9.89
259,Grade 1,7 - 1 =,6,4,6,choice_1,choice_2,False,7.6
260,Grade 2,4 + 5 =,9,7,9,choice_1,choice_2,False,3.42
261,Grade 5,3 * 10 =,30,31,30,choice_1,choice_2,False,9.13
262,Grade 2,7 - 1 =,4,6,6,choice_2,choice_1,False,4.39
263,Grade 5,28 - 27 =,1,3,1,choice_1,choice_1,True,5.32
264,Grade 5,7 * 10 =,70,73,70,choice_1,choice_1,True,8.0
265,Grade 2,19 + 10 =,32,29,29,choice_2,choice_1,False,6.68
266,Grade 4,84 - 74 =,11,10,10,choice_2,choice_1,False,5.88
267,Grade 1,19 - 17 =,0,2,2,choice_2,choice_1,False,6.31
268,Grade 4,79 - 62 =,16,17,17,choice_2,choice_1,False,4.76
269,Grade 2,1 + 20 =,24,21,21,choice_2,choice_2,True,7.91
270,Grade 2,14 + 4 =,17,18,18,choice_2,choice_1,False,8.65
271,Grade 4,12 * 11 =,130,132,132,choice_2,choice_1,False,9.54
272,Grade 1,19 - 6 =,13,15,13,choice_1,choice_1,True,7.21
273,Grade 5,40 - 20 =,20,18,20,choice_1,choice_1,True,6.08
274,Grade 1,13 + 11 =,23,24,24,choice_2,choice_2,True,4.65
275,Grade 5,10 * 5 =,50,53,50,choice_1,choice_2,False,7.93
276,Grade 1,10 + 14 =,24,25,24,choice_1,choice_2,False,9.84
277,Grade 2,18 - 16 =,3,2,2,choice_2,choice_2,True,7.67
278,Grade 2,9 - 5 =,7,4,4,choice_2,choice_1,False,9.8
279,Grade 4,69 - 14 =,55,53,55,choice_1,choice_2,False,4.24
280,Grade 2,13 + 10 =,23,22,23,choice_1,choice_1,True,7.19
281,Grade 2,12 - 12 =,-1,0,0,choice_2,choice_1,False,5.95
282,Grade 4,40 - 12 =,31,28,28,choice_2,choice_2,True,9.68
283,Grade 2,9 + 12 =,21,22,21,choice_1,choice_1,True,6.88
284,Grade 2,3 + 19 =,20,22,22,choice_2,choice_1,False,6.49
285,Grade 2,4 + 16 =,20,19,20,choice_1,choice_1,True,9.31
286,Grade 1,4 + 1 =,4,5,5,choice_2,choice_2,True,5.54
287,Grade 3,2 * 12 =,24,22,24,choice_1,choice_1,True,9.22
288,Grade 4,105 + 116 =,221,223,221,choice_1,choice_2,False,5.94
289,Grade 3,58 + 133 =,189,191,191,choice_2,choice_1,False,5.86
290,Grade 1,17 + 8 =,24,25,25,choice_2,choice_1,False,7.57
291,Grade 5,3 * 9 =,27,25,27,choice_1,choice_2,False,6.93
292,Grade 1,4 - 2 =,2,1,2,choice_1,choice_1,True,3.73
293,Grade 2,14 + 10 =,26,24,24,choice_2,choice_1,False,4.05
294,Grade 2,4 - 4 =,0,1,0,choice_1,choice_1,True,7.48
295,Grade 4,92 - 57 =,34,35,35,choice_2,choice_2,True,7.66
296,Grade 3,80 - 65 =,13,15,15,choice_2,choice_2,True,5.62
297,Grade 4,5 * 12 =,62,60,60,choice_2,choice_2,True,4.0
298,Grade 3,90 + 22 =,110,112,112,choice_2,choice_2,True,8.43
299,Grade 4,129 + 25 =,153,154,154,choice_2,choice_2,True,7.53
300,Grade 3,62 - 10 =,54,52,52,choice_2,choice_1,False,6.57
301,Grade 2,17 - 11 =,4,6,6,choice_2,choice_2,True,4.29
302,Grade 3,10 * 4 =,40,42,40,choice_1,choice_2,False,8.45
303,Grade 1,11 - 8 =,3,1,3,choice_1,choice_2,False,5.17
304,Grade 3,14 * 8 =,112,115,112,choice_1,choice_1,True,5.27
305,Grade 5,18 * 3 =,54,56,54,choice_1,choice_1,True,4.34
306,Grade 5,32 - 28 =,4,2,4,choice_1,choice_1,True,9.17
307,Grade 2,10 + 11 =,23,21,21,choice_2,choice_2,True,6.81
308,Grade 1,2 + 5 =,5,7,7,choice_2,choice_1,False,7.87
309,Grade 2,18 + 14 =,32,30,32,choice_1,choice_1,True,7.01
310,Grade 2,7 + 1 =,9,8,8,choice_2,choice_1,False,6.27
311,Grade 4,32 + 95 =,128,127,127,choice_2,choice_2,True,5.87
312,Grade 2,11 + 2 =,13,16,13,choice_1,choice_1,True,3.59
313,Grade 2,15 + 18 =,31,33,33,choice_2,choice_1,False,6.19
314,Grade 4,14 * 6 =,85,84,84,choice_2,choice_1,False,6.79
315,Grade 4,19 * 9 =,169,171,171,choice_2,choice_2,True,7.34
316,Grade 2,16 - 6 =,10,12,10,choice_1,choice_1,True,5.37
317,Grade 4,10 * 9 =,90,93,90,choice_1,choice_2,False,8.28
318,Grade 4,17 * 4 =,69,68,68,choice_2,choice_2,True,4.21
319,Grade 1,9 - 8 =,2,1,1,choice_2,choice_1,False,9.88
320,Grade 4,15 * 6 =,93,90,90,choice_2,choice_2,True,4.19
321,Grade 5,78 - 70 =,10,8,8,choice_2,choice_1,False,6.68
322,Grade 1,7 + 3 =,10,13,10,choice_1,choice_1,True,3.91
323,Grade 5,37 - 10 =,27,28,27,choice_1,choice_2,False,3.72
324,Grade 2,12 - 8 =,4,7,4,choice_1,choice_1,True,5.98
325,Grade 5,96 - 57 =,39,40,39,choice_1,choice_2,False,10.0
326,Grade 2,5 - 4 =,1,3,1,choice_1,choice_1,True,7.19
327,Grade 4,65 + 121 =,186,188,186,choice_1,choice_1,True,7.0
328,Grade 5,69 - 27 =,45,42,42,choice_2,choice_1,False,9.83
329,Grade 1,18 - 14 =,4,7,4,choice_1,choice_2,False,6.08
330,Grade 5,43 - 21 =,22,21,22,choice_1,choice_2,False,9.3
331,Grade 5,96 - 80 =,16,17,16,choice_1,choice_2,False,5.26
332,Grade 4,41 - 33 =,8,7,8,choice_1,choice_1,True,6.77
333,Grade 4,95 - 77 =,16,18,18,choice_2,choice_2,True,3.29
334,Grade 2,9 - 3 =,6,5,6,choice_1,choice_1,True,8.64
335,Grade 2,12 + 8 =,19,20,20,choice_2,choice_2,True,5.85
336,Grade 5,20 * 8 =,160,161,160,choice_1,choice_2,False,4.26
337,Grade 3,142 + 110 =,255,252,252,choice_2,choice_2,True,5.69
338,Grade 1,12 - 10 =,4,2,2,choice_2,choice_2,True,5.52
339,Grade 3,21 - 18 =,3,4,3,choice_1,choice_2,False,3.13
340,Grade 5,41 + 28 =,69,67,69,choice_1,choice_2,False,5.82
341,Grade 5,19 * 8 =,154,152,152,choice_2,choice_1,False,7.09
342,Grade 2,17 + 11 =,28,26,28,choice_1,choice_2,False,4.83
343,Grade 3,84 - 43 =,43,41,41,choice_2,choice_2,True,8.65
344,Grade 5,11 * 9 =,101,99,99,choice_2,choice_1,False,8.73
345,Grade 2,2 - 1 =,1,0,1,choice_1,choice_2,False,6.15
346,Grade 4,32 + 30 =,64,62,62,choice_2,choice_1,False,8.76
347,Grade 3,67 + 140 =,205,207,207,choice_2,choice_1,False,5.76
348,Grade 2,5 + 12 =,17,18,17,choice_1,choice_1,True,4.49
349,Grade 5,55 + 133 =,187,188,188,choice_2,choice_2,True,6.21
350,Grade 2,14 - 8 =,6,8,6,choice_1,choice_2,False,6.54
351,Grade 1,11 - 2 =,9,10,9,choice_1,choice_2,False,7.75
352,Grade 5,87 - 39 =,46,48,48,choice_2,choice_1,False,8.43
353,Grade 5,51 - 43 =,8,10,8,choice_1,choice_2,False,4.23
354,Grade 4,48 - 22 =,26,27,26,choice_1,choice_1,True,4.58
355,Grade 2,3 + 4 =,7,6,7,choice_1,choice_2,False,8.72
356,Grade 3,2 * 9 =,18,21,18,choice_1,choice_2,False,7.71
357,Grade 4,56 - 51 =,5,8,5,choice_1,choice_1,True,3.68
358,Grade 2,12 - 8 =,6,4,4,choice_2,choice_1,False,4.81
359,Grade 1,8 + 18 =,26,28,26,choice_1,choice_2,False,8.54
360,Grade 5,79 - 56 =,22,23,23,choice_2,choice_1,False,3.21
361,Grade 2,20 - 14 =,8,6,6,choice_2,choice_1,False,5.89
362,Grade 5,12 * 11 =,132,135,132,choice_1,choice_2,False,6.46
363,Grade 3,150 + 142 =,291,292,292,choice_2,choice_1,False,4.35
364,Grade 5,5 * 7 =,35,33,35,choice_1,choice_2,False,9.4
365,Grade 1,18 + 1 =,20,19,19,choice_2,choice_2,True,9.71
