question_type,left_number,right_number,correct_answer,user_answer,response_time_sec,at_risk
Which is smaller?,98,21,right,right,4.17,0
Choose the number closest to 10.,1,77,left,left,3.88,0
Which is bigger?,15,47,right,left,6.55,1
Which is smaller?,31,8,right,right,2.52,0
Choose the number closest to 10.,11,94,left,left,3.28,0
Which is bigger?,98,69,left,left,3.54,0
Which is bigger?,85,61,left,right,8.59,1
Which is bigger?,34,68,right,left,7.52,1
Which is smaller?,28,70,left,left,2.24,0
Choose the number closest to 10.,26,92,left,left,4.32,0
Choose the number closest to 10.,84,48,right,right,3.61,0
Choose the number closest to 10.,58,16,right,right,3.32,0
Which is bigger?,44,3,left,left,4.61,0
Which is bigger?,76,29,left,left,5.03,0
Choose the number closest to 10.,81,8,right,right,4.93,0
Which is bigger?,43,10,left,left,3.16,0
Which is smaller?,86,63,right,right,3.69,0
Which is bigger?,93,74,left,left,4.33,0
Which is bigger?,61,53,left,left,4.98,0
Which is bigger?,85,56,left,left,3.52,0
Which is smaller?,60,94,left,left,3.81,0
Choose the number closest to 10.,83,13,right,right,2.89,0
Choose the number closest to 10.,44,14,right,right,2.8,0
Which is bigger?,69,58,left,left,4.81,0
Which is bigger?,36,60,right,right,5.36,0
Which is bigger?,57,71,right,right,3.93,0
Choose the number closest to 10.,70,2,right,left,8.51,1
Which is bigger?,22,53,right,right,4.36,0
Which is bigger?,52,8,left,left,3.35,0
Which is bigger?,50,34,left,right,7.54,1
Which is smaller?,37,55,left,left,5.54,0
Choose the number closest to 10.,72,85,left,left,3.96,0
Which is bigger?,25,38,right,right,5.56,0
Which is bigger?,75,95,right,right,1.38,0
Choose the number closest to 10.,41,8,right,right,4.82,0
Which is smaller?,65,68,left,left,4.09,0
Choose the number closest to 10.,11,24,left,left,3.7,0
Which is bigger?,87,31,left,left,4.09,0
Choose the number closest to 10.,32,75,left,left,2.01,0
Choose the number closest to 10.,11,54,left,left,3.78,0
Choose the number closest to 10.,67,41,right,left,7.54,1
Which is bigger?,86,92,right,right,5.48,0
Which is smaller?,51,17,right,right,3.48,0
Which is smaller?,59,41,right,left,5.79,1
Which is bigger?,2,59,right,right,3.5,0
Choose the number closest to 10.,13,10,right,right,4.92,0
Choose the number closest to 10.,34,17,right,left,7.49,1
Which is bigger?,32,48,right,right,3.47,0
Which is smaller?,70,91,left,left,4.51,0
Choose the number closest to 10.,68,2,right,right,4.1,0
Choose the number closest to 10.,39,85,left,left,4.97,0
Which is bigger?,34,15,left,right,5.95,1
Choose the number closest to 10.,71,20,right,right,3.67,0
Choose the number closest to 10.,27,92,left,left,3.61,0
Choose the number closest to 10.,82,34,right,right,2.54,0
Which is smaller?,7,12,left,left,4.3,0
Which is smaller?,6,1,right,right,4.26,0
Which is bigger?,82,34,left,left,4.01,0
Which is smaller?,71,91,left,left,3.77,0
Which is bigger?,15,10,left,right,4.88,1
Choose the number closest to 10.,20,70,left,left,3.58,0
Which is smaller?,75,71,right,right,3.66,0
Which is bigger?,6,40,right,right,3.2,0
Which is bigger?,46,27,left,left,3.84,0
Choose the number closest to 10.,14,46,left,left,4.4,0
Which is smaller?,80,96,left,left,5.89,0
Which is bigger?,21,23,right,left,7.26,1
Which is bigger?,23,95,right,left,7.39,1
Which is smaller?,86,95,left,right,6.89,1
Which is smaller?,21,90,left,left,2.08,0
Which is bigger?,61,29,left,left,3.97,0
Which is smaller?,45,40,right,left,7.09,1
Which is bigger?,29,4,left,left,6.46,1
Which is smaller?,43,36,right,left,6.71,1
Which is smaller?,45,83,left,left,4.3,0
Choose the number closest to 10.,69,43,right,left,6.95,1
Which is bigger?,34,23,left,left,2.83,0
Which is smaller?,5,14,left,left,5.14,0
Which is smaller?,94,41,right,right,4.75,0
Choose the number closest to 10.,15,50,left,right,8.19,1
Which is bigger?,33,6,left,left,3.09,0
Which is bigger?,67,69,right,right,5.4,0
Choose the number closest to 10.,95,86,right,right,2.6,0
Which is smaller?,9,86,left,right,7.88,1
Choose the number closest to 10.,41,85,left,right,10.29,1
Choose the number closest to 10.,39,65,left,left,3.01,0
Which is smaller?,42,52,left,left,3.43,0
Choose the number closest to 10.,17,25,left,left,4.1,0
Which is smaller?,87,96,left,right,6.24,1
Choose the number closest to 10.,73,39,right,right,2.45,0
Which is bigger?,39,37,left,left,4.07,0
Choose the number closest to 10.,78,84,left,left,2.94,0
Which is smaller?,57,87,left,left,4.47,0
Which is smaller?,95,22,right,right,3.08,0
Which is smaller?,66,85,left,left,5.55,0
Which is smaller?,12,97,left,left,3.22,0
Which is smaller?,29,26,right,right,3.68,0
Which is bigger?,32,61,right,right,4.81,0
Which is bigger?,59,54,left,right,5.15,1
Choose the number closest to 10.,25,92,left,left,4.23,0
Which is smaller?,52,32,right,right,5.31,0
Choose the number closest to 10.,1,97,left,right,4.59,1
Which is bigger?,100,55,left,left,4.18,0
Choose the number closest to 10.,67,60,right,right,4.26,0
Which is bigger?,16,59,right,right,4.78,0
Which is smaller?,86,68,right,left,5.14,1
Choose the number closest to 10.,41,97,left,right,5.02,1
Choose the number closest to 10.,93,65,right,right,4.52,0
Choose the number closest to 10.,58,21,right,right,4.3,0
Which is smaller?,58,34,right,right,4.25,0
Choose the number closest to 10.,36,99,left,left,4.35,0
Which is smaller?,81,31,right,right,3.32,0
Which is bigger?,92,37,left,left,4.23,0
Which is smaller?,41,70,left,left,4.29,0
Which is bigger?,30,50,right,right,3.29,0
Choose the number closest to 10.,28,9,right,right,5.87,0
Which is smaller?,70,60,right,right,4.47,0
Which is bigger?,54,50,left,right,5.21,1
Choose the number closest to 10.,90,3,right,left,7.98,1
Choose the number closest to 10.,49,62,left,left,3.03,0
Which is smaller?,39,97,left,left,4.79,0
Which is smaller?,69,96,left,left,5.16,0
Choose the number closest to 10.,29,63,left,left,3.18,0
Which is smaller?,63,4,right,right,4.96,0
Choose the number closest to 10.,87,52,right,right,4.41,0
Which is smaller?,17,80,left,left,4.82,0
Which is smaller?,76,73,right,right,5.9,0
Which is bigger?,83,55,left,left,3.75,0
Which is smaller?,24,7,right,right,3.25,0
Which is smaller?,28,59,left,left,3.11,0
Which is smaller?,36,97,left,right,5.78,1
Which is smaller?,33,11,right,right,3.92,0
Choose the number closest to 10.,70,7,right,left,7.51,1
Which is smaller?,29,84,left,left,4.28,0
Choose the number closest to 10.,6,97,left,left,4.83,0
Which is bigger?,26,3,left,left,4.01,0
Which is bigger?,17,61,right,right,5.45,0
Choose the number closest to 10.,28,60,left,left,3.74,0
Which is smaller?,22,78,left,left,6.72,1
Choose the number closest to 10.,92,15,right,right,4.63,0
Which is bigger?,40,14,left,left,3.14,0
Which is smaller?,74,87,left,right,5.39,1
Which is smaller?,51,92,left,left,4.48,0
Choose the number closest to 10.,89,81,right,right,3.78,0
Choose the number closest to 10.,99,39,right,left,8.07,1
Choose the number closest to 10.,16,73,left,left,4.47,0
Which is smaller?,69,55,right,right,3.93,0
Which is bigger?,65,83,right,right,3.15,0
Which is smaller?,63,14,right,right,2.49,0
Which is smaller?,82,59,right,right,3.55,0
Which is smaller?,23,94,left,left,4.86,0
Choose the number closest to 10.,35,79,left,right,7.32,1
Choose the number closest to 10.,100,62,right,right,2.75,0
Choose the number closest to 10.,76,35,right,right,4.17,0
Which is bigger?,12,36,right,left,7.58,1
Which is bigger?,97,60,left,left,3.12,0
Choose the number closest to 10.,49,44,right,right,4.15,0
Which is smaller?,24,63,left,left,4.06,0
Which is smaller?,44,36,right,left,5.29,1
Choose the number closest to 10.,36,72,left,left,4.36,0
Which is bigger?,11,31,right,right,4.56,0
Which is smaller?,72,98,left,left,5.08,0
Which is smaller?,83,92,left,left,5.05,0
Which is bigger?,12,38,right,right,2.62,0
Choose the number closest to 10.,32,40,left,left,3.06,0
Which is smaller?,61,71,left,left,4.52,0
Which is smaller?,96,71,right,right,4.51,0
Choose the number closest to 10.,59,35,right,right,4.52,0
Which is bigger?,16,93,right,right,7.85,1
Which is bigger?,96,69,left,right,7.86,1
Choose the number closest to 10.,24,25,left,left,5.14,0
Which is smaller?,36,93,left,left,4.95,0
Choose the number closest to 10.,77,37,right,left,7.98,1
Which is bigger?,38,30,left,left,3.68,0
Which is smaller?,2,91,left,left,4.76,0
Which is smaller?,6,7,left,left,3.23,0
Choose the number closest to 10.,17,82,left,right,6.64,1
Which is smaller?,14,2,right,right,3.51,0
Which is smaller?,62,57,right,right,4.08,0
Which is bigger?,33,62,right,right,6.31,1
Which is bigger?,52,63,right,right,2.13,0
Choose the number closest to 10.,88,7,right,right,4.69,0
Choose the number closest to 10.,39,11,right,left,4.58,1
Which is bigger?,72,98,right,right,3.53,0
Choose the number closest to 10.,80,29,right,right,5.09,0
Which is smaller?,58,57,right,right,4.06,0
Choose the number closest to 10.,55,40,right,right,2.92,0
Which is bigger?,79,95,right,right,3.28,0
Which is bigger?,81,28,left,left,4.68,0
Which is bigger?,21,31,right,right,3.27,0
Which is bigger?,21,1,left,left,4.22,0
Choose the number closest to 10.,77,61,right,right,4.05,0
Which is bigger?,37,91,right,right,3.35,0
Which is smaller?,10,88,left,left,6.14,1
Which is smaller?,81,76,right,right,4.63,0
Which is bigger?,55,15,left,left,1.97,0
Choose the number closest to 10.,20,35,left,right,7.28,1
Which is bigger?,8,22,right,right,3.34,0
Choose the number closest to 10.,96,73,right,left,8.28,1
Which is smaller?,16,60,left,left,3.21,0
Choose the number closest to 10.,52,35,right,right,3.89,0
Which is smaller?,57,11,right,right,4.5,0
Which is smaller?,95,42,right,right,4.87,0
Which is bigger?,12,30,right,left,5.2,1
Choose the number closest to 10.,76,3,right,left,6.5,1
Choose the number closest to 10.,35,74,left,left,3.53,0
Which is bigger?,61,67,right,right,3.35,0
Which is smaller?,24,75,left,left,5.77,0
Which is smaller?,12,61,left,left,4.4,0
Which is smaller?,42,86,left,left,2.74,0
Which is bigger?,43,53,right,right,4.92,0
Which is smaller?,85,52,right,left,10.18,1
Choose the number closest to 10.,5,59,left,left,5.03,0
Which is smaller?,42,15,right,left,4.72,1
Which is smaller?,66,1,right,right,3.52,0
Choose the number closest to 10.,60,53,right,right,5.27,0
Choose the number closest to 10.,47,80,left,left,3.29,0
Choose the number closest to 10.,57,98,left,left,4.44,0
Which is smaller?,71,17,right,left,8.16,1
Which is smaller?,90,63,right,right,3.07,0
Choose the number closest to 10.,78,31,right,right,3.94,0
Which is smaller?,71,2,right,right,0.76,0
Which is bigger?,29,15,left,left,2.98,0
Which is bigger?,83,20,left,left,3.75,0
Choose the number closest to 10.,38,66,left,left,2.75,0
Which is smaller?,62,61,right,right,5.63,0
Choose the number closest to 10.,19,50,left,left,2.57,0
Choose the number closest to 10.,66,96,left,right,6.34,1
Which is bigger?,36,99,right,right,4.13,0
Which is smaller?,44,65,left,left,5.44,0
Which is bigger?,37,93,right,right,2.56,0
Choose the number closest to 10.,75,85,left,left,5.16,0
Which is bigger?,58,69,right,right,4.01,0
Which is smaller?,71,98,left,left,3.02,0
Which is smaller?,42,25,right,left,7.69,1
Which is bigger?,74,50,left,left,4.2,0
Which is smaller?,6,41,left,left,3.4,0
Choose the number closest to 10.,49,50,left,right,7.1,1
Choose the number closest to 10.,20,64,left,right,6.42,1
Which is bigger?,65,76,right,right,4.11,0
Which is bigger?,57,13,left,left,4.66,0
Which is smaller?,2,93,left,left,5.59,0
Choose the number closest to 10.,20,10,right,right,2.76,0
Which is smaller?,44,80,left,left,6.13,1
Choose the number closest to 10.,11,43,left,right,4.07,1
Choose the number closest to 10.,49,41,right,right,3.85,0
Which is smaller?,70,5,right,right,4.59,0
Which is bigger?,81,88,right,left,7.42,1
Which is bigger?,96,12,left,left,3.38,0
Which is bigger?,98,82,left,left,3.79,0
Which is bigger?,57,22,left,left,3.51,0
Which is bigger?,6,42,right,right,3.41,0
Which is smaller?,46,48,left,left,4.85,0
Which is bigger?,68,53,left,left,4.36,0
Which is bigger?,22,23,right,right,3.31,0
Which is smaller?,80,88,left,left,4.9,0
Choose the number closest to 10.,19,30,left,left,4.31,0
Which is smaller?,59,33,right,right,4.81,0
Which is smaller?,37,87,left,left,4.63,0
Which is bigger?,57,45,left,right,5.76,1
Which is smaller?,82,55,right,right,3.44,0
Which is smaller?,39,26,right,left,8.12,1
Which is smaller?,14,31,left,left,4.61,0
Which is smaller?,74,38,right,left,6.97,1
Which is smaller?,3,85,left,left,4.12,0
Which is bigger?,73,88,right,right,5.28,0
Which is bigger?,78,96,right,right,3.41,0
Which is smaller?,100,30,right,right,4.55,0
Which is smaller?,29,82,left,left,3.8,0
Which is smaller?,87,97,left,left,3.78,0
Choose the number closest to 10.,88,18,right,right,5.1,0
Choose the number closest to 10.,83,6,right,right,4.83,0
Which is smaller?,5,75,left,left,4.81,0
Which is bigger?,12,38,right,right,5.31,0
Which is smaller?,23,26,left,left,4.02,0
Choose the number closest to 10.,47,68,left,left,4.68,0
Which is smaller?,22,33,left,right,6.53,1
Which is smaller?,38,96,left,right,7.49,1
Which is bigger?,60,10,left,left,3.87,0
Which is bigger?,87,93,right,right,4.1,0
Which is smaller?,72,47,right,right,4.6,0
Which is smaller?,2,34,left,left,3.18,0
Which is smaller?,48,87,left,left,6.09,1
Which is smaller?,75,49,right,left,5.49,1
Which is smaller?,14,87,left,left,2.79,0
Which is bigger?,80,72,left,left,5.16,0
Choose the number closest to 10.,29,83,left,left,4.79,0
Which is smaller?,90,39,right,right,4.62,0
Which is bigger?,18,6,left,right,7.94,1
Which is smaller?,64,15,right,right,3.99,0
Choose the number closest to 10.,18,50,left,left,3.1,0
Choose the number closest to 10.,96,90,right,left,7.11,1
Which is smaller?,76,96,left,left,3.32,0
Which is smaller?,84,13,right,left,8.46,1
Choose the number closest to 10.,53,36,right,right,3.85,0
Which is smaller?,28,57,left,left,3.17,0
Which is bigger?,47,13,left,right,6.52,1
Which is smaller?,70,83,left,left,4.41,0
Which is smaller?,36,25,right,left,6.15,1
Which is smaller?,12,85,left,left,3.18,0
Choose the number closest to 10.,77,3,right,right,4.24,0
Which is smaller?,32,17,right,right,4.24,0
Which is bigger?,9,98,right,right,3.49,0
Choose the number closest to 10.,28,30,left,left,3.53,0
Which is bigger?,77,1,left,left,4.23,0
Which is bigger?,17,70,right,right,2.55,0
Which is bigger?,15,85,right,left,4.89,1
Which is bigger?,2,46,right,right,3.28,0
Which is bigger?,76,42,left,left,3.79,0
Which is smaller?,7,17,left,left,4.31,0
Choose the number closest to 10.,15,96,left,left,5.48,0
Which is smaller?,100,47,right,right,4.86,0
Which is bigger?,58,65,right,right,3.84,0
Choose the number closest to 10.,6,94,left,left,3.98,0
Choose the number closest to 10.,67,39,right,right,3.0,0
Which is bigger?,8,62,right,left,6.97,1
Which is smaller?,88,14,right,right,3.71,0
Which is smaller?,10,11,left,left,4.32,0
Which is bigger?,9,17,right,right,3.17,0
Choose the number closest to 10.,75,71,right,right,4.52,0
Which is smaller?,77,68,right,right,5.53,0
Choose the number closest to 10.,78,56,right,right,3.89,0
Choose the number closest to 10.,15,84,left,left,4.4,0
Choose the number closest to 10.,93,28,right,right,4.69,0
Which is bigger?,53,44,left,right,6.4,1
Which is smaller?,54,94,left,left,4.22,0
Which is smaller?,41,86,left,left,4.01,0
Which is bigger?,88,61,left,left,4.1,0
Which is bigger?,12,56,right,right,3.23,0
Choose the number closest to 10.,48,17,right,right,4.02,0
Choose the number closest to 10.,72,43,right,right,4.5,0
Which is smaller?,46,86,left,right,9.18,1
Which is smaller?,93,7,right,left,8.44,1
Choose the number closest to 10.,40,46,left,left,6.15,1
Choose the number closest to 10.,28,20,right,right,3.23,0
Which is bigger?,14,45,right,left,8.31,1
Which is smaller?,15,98,left,left,4.18,0
Which is bigger?,55,72,right,left,10.28,1
Choose the number closest to 10.,79,87,left,left,3.19,0
Which is bigger?,78,85,right,left,5.74,1
Which is smaller?,4,24,left,left,3.4,0
Which is smaller?,44,45,left,left,1.88,0
Which is bigger?,73,85,right,right,3.47,0
Which is bigger?,95,82,left,right,5.86,1
Which is bigger?,96,68,left,left,4.15,0
Which is smaller?,59,44,right,right,4.34,0
Which is smaller?,93,42,right,right,5.88,0
Choose the number closest to 10.,77,11,right,left,8.43,1
Which is bigger?,21,97,right,right,3.42,0
Choose the number closest to 10.,11,35,left,left,3.1,0
Which is smaller?,63,78,left,left,4.49,0
Which is smaller?,28,97,left,left,2.68,0
Which is smaller?,56,15,right,right,5.83,0
Choose the number closest to 10.,76,63,right,right,5.18,0
Which is smaller?,6,29,left,left,3.53,0
Choose the number closest to 10.,8,1,left,left,2.29,0
Which is bigger?,99,18,left,left,5.35,0
Which is smaller?,42,16,right,right,3.89,0
Choose the number closest to 10.,56,23,right,right,5.24,0
Choose the number closest to 10.,91,30,right,right,2.41,0
Choose the number closest to 10.,46,10,right,right,3.4,0
Choose the number closest to 10.,6,56,left,left,4.01,0
Which is bigger?,41,74,right,right,4.05,0
Which is smaller?,91,82,right,right,3.55,0
Which is bigger?,52,3,left,right,7.93,1
Which is bigger?,80,59,left,right,5.4,1
Which is smaller?,12,56,left,right,6.79,1
Which is bigger?,56,76,right,right,4.12,0
Which is bigger?,51,40,left,left,4.51,0
Which is bigger?,43,100,right,right,4.71,0
Choose the number closest to 10.,82,15,right,right,2.88,0
Which is bigger?,100,45,left,left,2.47,0
Choose the number closest to 10.,19,31,left,left,5.28,0
Which is smaller?,26,23,right,right,4.33,0
Choose the number closest to 10.,10,23,left,right,5.88,1
Choose the number closest to 10.,64,60,right,right,5.55,0
Choose the number closest to 10.,58,88,left,right,7.17,1
Choose the number closest to 10.,83,82,right,left,8.77,1
Which is smaller?,81,41,right,right,4.07,0
Which is bigger?,61,57,left,left,6.06,1
Which is smaller?,76,8,right,right,5.76,0
Which is bigger?,40,60,right,right,3.75,0
Which is bigger?,48,37,left,left,4.97,0
Which is bigger?,79,77,left,left,4.65,0
Which is smaller?,75,71,right,left,9.05,1
Choose the number closest to 10.,6,58,left,right,5.55,1
Choose the number closest to 10.,84,25,right,right,4.69,0
Which is smaller?,65,20,right,left,8.59,1
Which is smaller?,14,44,left,right,4.36,1
Which is bigger?,65,83,right,right,2.82,0
Which is bigger?,91,57,left,right,3.94,1
Choose the number closest to 10.,67,79,left,left,3.73,0
Which is smaller?,37,50,left,left,4.72,0
Which is smaller?,87,77,right,right,5.5,0
Choose the number closest to 10.,83,43,right,right,4.07,0
Which is bigger?,72,87,right,right,5.63,0
Which is smaller?,93,85,right,left,4.93,1
Choose the number closest to 10.,20,43,left,left,2.3,0
Choose the number closest to 10.,19,45,left,left,3.94,0
Choose the number closest to 10.,90,85,right,right,4.38,0
Choose the number closest to 10.,91,11,right,right,3.97,0
Which is smaller?,83,43,right,left,3.9,1
Choose the number closest to 10.,90,95,left,right,6.87,1
Choose the number closest to 10.,12,83,left,left,2.7,0
Choose the number closest to 10.,47,3,right,right,4.67,0
Which is bigger?,28,44,right,left,7.55,1
Which is smaller?,25,29,left,right,5.59,1
Which is bigger?,10,38,right,left,6.23,1
Which is bigger?,65,99,right,right,2.94,0
Choose the number closest to 10.,68,5,right,right,3.94,0
Choose the number closest to 10.,17,77,left,left,4.96,0
Which is bigger?,24,89,right,right,3.01,0
Which is bigger?,93,57,left,left,4.5,0
Which is smaller?,87,93,left,left,3.47,0
Which is smaller?,79,37,right,right,3.21,0
Which is smaller?,30,69,left,left,3.89,0
Which is smaller?,25,48,left,left,2.96,0
Choose the number closest to 10.,57,60,left,left,3.45,0
Which is smaller?,65,68,left,left,2.8,0
Which is bigger?,26,78,right,right,5.96,0
Which is smaller?,7,83,left,left,4.04,0
Which is smaller?,71,14,right,right,3.3,0
Choose the number closest to 10.,16,37,left,left,4.21,0
Which is bigger?,35,58,right,left,6.83,1
Which is bigger?,56,12,left,right,6.67,1
Which is bigger?,58,45,left,right,7.92,1
Which is smaller?,7,51,left,left,4.76,0
Which is bigger?,50,11,left,left,3.47,0
Which is bigger?,41,13,left,right,6.14,1
Choose the number closest to 10.,43,19,right,right,3.72,0
Which is smaller?,61,90,left,right,3.55,1
Choose the number closest to 10.,61,58,right,right,2.48,0
Which is bigger?,3,33,right,right,5.37,0
Which is bigger?,71,94,right,right,5.64,0
Which is smaller?,15,100,left,left,3.75,0
Which is smaller?,16,7,right,right,4.58,0
Choose the number closest to 10.,80,59,right,right,4.31,0
Which is smaller?,77,69,right,right,7.08,1
Choose the number closest to 10.,74,31,right,right,5.12,0
Which is smaller?,55,1,right,right,3.87,0
Which is bigger?,74,54,left,left,3.04,0
Choose the number closest to 10.,11,68,left,right,4.59,1
Which is bigger?,68,70,right,right,4.2,0
Choose the number closest to 10.,71,3,right,right,3.24,0
Which is smaller?,6,82,left,left,2.58,0
Which is smaller?,33,96,left,left,3.35,0
Which is bigger?,45,31,left,left,2.92,0
Choose the number closest to 10.,14,99,left,left,5.69,0
Which is smaller?,18,6,right,right,4.88,0
Which is smaller?,83,23,right,left,6.99,1
Choose the number closest to 10.,60,90,left,left,5.48,0
Which is bigger?,18,9,left,left,4.08,0
Which is smaller?,5,38,left,left,3.14,0
Which is bigger?,6,41,right,left,9.28,1
Choose the number closest to 10.,51,70,left,left,4.54,0
Which is bigger?,97,83,left,left,2.96,0
Which is smaller?,100,7,right,left,6.71,1
Which is smaller?,35,16,right,right,3.12,0
Which is smaller?,52,96,left,left,2.62,0
Which is smaller?,44,24,right,right,4.93,0
Which is smaller?,48,67,left,left,5.91,0
Which is bigger?,94,55,left,left,2.6,0
Choose the number closest to 10.,24,70,left,left,4.56,0
Which is bigger?,11,42,right,right,3.35,0
Which is smaller?,58,78,left,left,3.51,0
Which is bigger?,89,57,left,left,3.41,0
Which is bigger?,94,46,left,left,3.14,0
Which is smaller?,36,82,left,right,7.07,1
Which is bigger?,10,86,right,right,3.17,0
Which is smaller?,66,96,left,left,4.27,0
Which is bigger?,19,78,right,right,3.95,0
Which is smaller?,5,17,left,left,3.76,0
Choose the number closest to 10.,47,50,left,right,5.64,1
Which is bigger?,78,20,left,left,3.42,0
Which is smaller?,48,57,left,left,4.76,0
Choose the number closest to 10.,18,68,left,left,4.5,0
Which is smaller?,84,36,right,right,3.02,0
Which is bigger?,4,95,right,right,4.1,0
Choose the number closest to 10.,50,72,left,left,4.75,0
Which is smaller?,91,58,right,right,2.33,0
Choose the number closest to 10.,37,89,left,right,7.82,1
Which is smaller?,26,16,right,right,3.34,0
Which is bigger?,58,23,left,right,7.86,1
Which is smaller?,12,88,left,right,5.86,1
Which is smaller?,86,45,right,right,2.2,0
Choose the number closest to 10.,70,38,right,left,4.56,1
Which is bigger?,92,91,left,right,7.07,1
Choose the number closest to 10.,23,47,left,left,4.26,0
Which is bigger?,26,18,left,left,3.1,0
Which is smaller?,4,47,left,left,4.64,0
Which is smaller?,60,71,left,left,2.34,0
Which is bigger?,9,40,right,right,3.93,0
Choose the number closest to 10.,93,62,right,right,2.79,0
Which is smaller?,74,10,right,right,3.35,0
Which is smaller?,83,10,right,right,4.05,0
Choose the number closest to 10.,67,45,right,right,3.14,0
Choose the number closest to 10.,82,76,right,right,3.62,0
Which is bigger?,56,65,right,left,8.51,1
Which is bigger?,16,67,right,right,3.42,0
Which is bigger?,21,42,right,left,8.25,1
Which is bigger?,45,67,right,left,5.31,1
Which is bigger?,33,26,left,left,4.53,0
Choose the number closest to 10.,36,17,right,right,5.44,0
Choose the number closest to 10.,69,12,right,right,1.53,0
Which is bigger?,76,75,left,left,3.2,0
Choose the number closest to 10.,80,93,left,right,7.87,1
Which is smaller?,73,6,right,left,6.7,1
Which is bigger?,11,6,left,right,7.56,1
Choose the number closest to 10.,34,84,left,left,3.4,0
Choose the number closest to 10.,54,80,left,left,4.09,0
Which is smaller?,81,70,right,right,3.84,0
Which is smaller?,62,32,right,left,8.75,1
Choose the number closest to 10.,52,39,right,right,4.25,0
Choose the number closest to 10.,8,21,left,left,4.34,0
Which is smaller?,60,27,right,right,3.59,0
Which is bigger?,41,92,right,right,3.51,0
Which is smaller?,52,17,right,right,3.57,0
Choose the number closest to 10.,72,14,right,right,4.39,0
Which is smaller?,16,35,left,left,3.58,0
Which is bigger?,13,7,left,left,4.29,0
Which is smaller?,79,54,right,right,6.08,1
Which is bigger?,42,74,right,right,4.87,0
Which is bigger?,98,21,left,left,3.67,0
Choose the number closest to 10.,60,64,left,right,8.8,1
Which is smaller?,3,12,left,right,6.39,1
Choose the number closest to 10.,59,31,right,right,1.96,0
Which is smaller?,7,37,left,left,2.99,0
Choose the number closest to 10.,87,61,right,right,2.13,0
Which is bigger?,14,56,right,right,3.65,0
Which is smaller?,94,47,right,right,4.02,0
Which is smaller?,6,52,left,left,5.68,0
Choose the number closest to 10.,25,47,left,left,4.33,0
Which is bigger?,50,65,right,right,3.78,0
Choose the number closest to 10.,36,80,left,left,4.83,0
Which is bigger?,17,13,left,left,1.79,0
Which is smaller?,72,47,right,right,4.24,0
Which is bigger?,78,66,left,left,4.77,0
Which is bigger?,6,5,left,left,2.52,0
Which is smaller?,61,67,left,left,5.14,0
Choose the number closest to 10.,66,18,right,right,4.34,0
Choose the number closest to 10.,41,21,right,right,3.58,0
Choose the number closest to 10.,95,39,right,right,4.63,0
Choose the number closest to 10.,66,69,left,left,6.27,1
Choose the number closest to 10.,39,61,left,right,7.27,1
Which is smaller?,43,87,left,left,4.25,0
Which is smaller?,75,40,right,right,3.54,0
Choose the number closest to 10.,89,81,right,right,3.15,0
Which is smaller?,34,84,left,left,4.83,0
Choose the number closest to 10.,74,30,right,right,3.14,0
Choose the number closest to 10.,62,22,right,right,4.07,0
Choose the number closest to 10.,80,100,left,right,6.28,1
Which is bigger?,88,32,left,left,4.48,0
Choose the number closest to 10.,15,25,left,left,4.33,0
Which is smaller?,54,20,right,right,5.04,0
Which is bigger?,53,65,right,right,3.49,0
Which is smaller?,95,94,right,right,3.73,0
